iter,method,aux_loss,loss,time
160,megatron,0.01,6.873801,12453.1
161,megatron,0.01,6.861127,12713.9
162,megatron,0.01,6.861527,12877.7
163,megatron,0.01,6.865532,14422.9
164,megatron,0.01,6.867579,13720.0
165,megatron,0.01,6.833803,14772.4
166,megatron,0.01,6.817109,13255.9
167,megatron,0.01,6.813253,14221.8
168,megatron,0.01,6.812959,13058.8
169,megatron,0.01,6.822819,15168.7
170,megatron,0.01,6.820259,14188.6
171,megatron,0.01,6.838463,13357.4
172,megatron,0.01,6.810336,13010.0
173,megatron,0.01,6.759589,13257.2
174,megatron,0.01,6.80172,14615.7
175,megatron,0.01,6.796551,13434.5
176,megatron,0.01,6.785389,13753.3
177,megatron,0.01,6.779615,14625.7
178,megatron,0.01,6.783099,13171.6
179,megatron,0.01,6.770157,13397.7
180,megatron,0.01,6.747312,13995.6
181,megatron,0.01,6.740775,13319.4
182,megatron,0.01,6.748758,13488.2
183,megatron,0.01,6.757597,13945.8
184,megatron,0.01,6.76717,13297.4
185,megatron,0.01,6.726398,13033.0
186,megatron,0.01,6.74312,12797.2
187,megatron,0.01,6.723085,11587.7
188,megatron,0.01,6.721384,11763.4
189,megatron,0.01,6.706736,11927.9
190,megatron,0.01,6.70776,14272.1
191,megatron,0.01,6.700557,12277.2
192,megatron,0.01,6.688138,13385.1
193,megatron,0.01,6.717958,12287.4
194,megatron,0.01,6.683808,12962.9
195,megatron,0.01,6.680423,12893.1
196,megatron,0.01,6.713263,13392.8
197,megatron,0.01,6.695316,13566.2
198,megatron,0.01,6.677797,14464.2
199,megatron,0.01,6.675002,12601.9
200,megatron,0.01,6.692148,12578.8
201,megatron,0.01,6.668585,13370.4
202,megatron,0.01,6.674075,12870.8
203,megatron,0.01,6.642462,12578.8
204,megatron,0.01,6.652069,13829.0
205,megatron,0.01,6.626828,12343.8
206,megatron,0.01,6.643058,12130.9
207,megatron,0.01,6.650561,12100.0
208,megatron,0.01,6.639978,12250.2
209,megatron,0.01,6.639036,12484.6
210,megatron,0.01,6.621286,13354.2
211,megatron,0.01,6.622137,12534.1
212,megatron,0.01,6.646754,13043.4
213,megatron,0.01,6.616608,14063.9
214,megatron,0.01,6.620887,11317.1
215,megatron,0.01,6.614162,11823.6
216,megatron,0.01,6.585812,12652.8
217,megatron,0.01,6.582658,13189.7
218,megatron,0.01,6.570818,13174.6
219,megatron,0.01,6.581855,14259.9
220,megatron,0.01,6.591458,12919.4
221,megatron,0.01,6.588974,13128.6
222,megatron,0.01,6.589898,13477.0
223,megatron,0.01,6.564816,12302.2
224,megatron,0.01,6.551177,12444.7
225,megatron,0.01,6.549117,12567.6
226,megatron,0.01,6.539298,13280.2
227,megatron,0.01,6.555041,12284.6
228,megatron,0.01,6.545581,14032.5
229,megatron,0.01,6.535689,13058.6
230,megatron,0.01,6.533129,13567.6
231,megatron,0.01,6.542025,12810.0
232,megatron,0.01,6.526202,12427.5
233,megatron,0.01,6.519624,12779.2
234,megatron,0.01,6.527216,14185.4
235,megatron,0.01,6.519505,12976.0
236,megatron,0.01,6.488202,14564.7
237,megatron,0.01,6.513482,12219.5
238,megatron,0.01,6.507676,12992.3
239,megatron,0.01,6.508698,12294.8
240,megatron,0.01,6.503662,14257.8
241,megatron,0.01,6.478992,12532.9
242,megatron,0.01,6.492301,12322.8
243,megatron,0.01,6.50288,12442.5
244,megatron,0.01,6.485798,12382.7
245,megatron,0.01,6.476906,12722.6
246,megatron,0.01,6.487055,11982.3
247,megatron,0.01,6.481273,11842.2
248,megatron,0.01,6.46968,12089.6
249,megatron,0.01,6.456699,13717.8
250,megatron,0.01,6.470448,12829.4
251,megatron,0.01,6.456649,11845.8
252,megatron,0.01,6.453025,12801.3
253,megatron,0.01,6.465536,14931.6
254,megatron,0.01,6.452537,12963.5
255,megatron,0.01,6.434921,11381.5
256,megatron,0.01,6.417461,12061.8
257,megatron,0.01,6.426647,12195.8
258,megatron,0.01,6.437661,12859.3
259,megatron,0.01,6.441405,13195.9
260,megatron,0.01,6.414271,12014.5
261,megatron,0.01,6.423128,13320.0
262,megatron,0.01,6.41822,13471.4
263,megatron,0.01,6.414704,12069.7
264,megatron,0.01,6.398908,12251.7
265,megatron,0.01,6.394787,12664.0
266,megatron,0.01,6.403818,13002.7
267,megatron,0.01,6.378874,13333.1
268,megatron,0.01,6.3816,11850.9
269,megatron,0.01,6.382982,12365.6
270,megatron,0.01,6.377911,12347.5
271,megatron,0.01,6.381237,12467.2
272,megatron,0.01,6.372686,11929.6
273,megatron,0.01,6.345877,11989.7
274,megatron,0.01,6.366951,13791.7
275,megatron,0.01,6.342198,12676.2
276,megatron,0.01,6.345435,12739.2
277,megatron,0.01,6.343823,13490.7
278,megatron,0.01,6.327394,13497.8
279,megatron,0.01,6.350741,12303.3
280,megatron,0.01,6.335997,13357.5
281,megatron,0.01,6.340521,12137.5
282,megatron,0.01,6.340605,12167.2
283,megatron,0.01,6.321971,13178.7
284,megatron,0.01,6.287077,12129.3
285,megatron,0.01,6.311622,12179.2
286,megatron,0.01,6.295166,12258.3
287,megatron,0.01,6.298763,11799.1
288,megatron,0.01,6.29694,11790.5
289,megatron,0.01,6.286705,11755.0
290,megatron,0.01,6.292734,11831.2
291,megatron,0.01,6.29263,11677.4
292,megatron,0.01,6.26352,11194.9
293,megatron,0.01,6.270123,11906.2
294,megatron,0.01,6.299114,11834.9
295,megatron,0.01,6.244505,12162.8
296,megatron,0.01,6.262259,12083.6
